CultivarGroup SingleMound PlotOfLand FarmerId NOMODEL
weekly_desired_h2o_input cultivar_group farmer_id user_id NA
min_desired_soil_temp plot_of_land num_columns_full first_name NA
min_desired_air_temp x_coord_in_plot approx_gps last_name NA
max_desired_sunlight y_coord_in_plot num_rows_full email NA
desired_soil_moist last_h2o_input_date x_dist_between_mounds phone_number NA
min_desired_sunlight last_h2o_input_amt y_dist_between_mounds NA NA
NA days_old_since_planting diameter_mounds NA NA
NA soil_moist peanuts_seeds_per_mound NA NA
NA plant_height NA NA NA
NA leaf_discolor NA NA NA
NA avg_sunlight NA NA NA
NA avg_soil_temp NA NA NA
NA avg_air_temp NA NA NA
NA leaf_discolor_resolved NA NA NA
NA peanut_inoculant_applied NA NA NA
NA min_air_temp NA NA NA
NA min_soil_temp NA NA NA
NA last_date_local_observation NA NA NA
